Дата,RGBi
2010-09-24,131.78
2010-09-27,131.93
2010-09-28,132.08
2010-09-29,132.15
2010-09-30,132.32
2010-10-01,132.43
2010-10-04,132.48
2010-10-05,132.73
2010-10-06,132.86
2010-10-07,132.93
2010-10-08,132.85
2010-10-11,132.94
2010-10-12,132.94
2010-10-13,132.97
2010-10-14,133.02
2010-10-15,132.98
2010-10-18,132.95
2010-10-19,132.96
2010-10-20,132.88
2010-10-21,132.96
2010-10-22,132.8
2010-10-25,132.87
2010-10-26,132.83
2010-10-27,132.66
2010-10-28,132.55
2010-10-29,132.54
2010-11-01,132.45
2010-11-02,132.35
2010-11-03,132.42
2010-11-08,132.41
2010-11-09,132.41
2010-11-10,132.36
2010-11-11,132.36
2010-11-12,132.25
2010-11-13,132.0
2010-11-15,132.13
2010-11-16,131.71
2010-11-17,131.74
2010-11-18,131.76
2010-11-19,131.74
2010-11-22,131.69
2010-11-23,131.62
2010-11-24,131.45
2010-11-25,131.65
2010-11-26,131.53
2010-11-29,131.22
2010-11-30,131.08
2010-12-01,131.08
2010-12-02,131.26
2010-12-03,131.41
2010-12-06,131.51
2010-12-07,131.54
2010-12-08,131.42
2010-12-09,131.34
2010-12-10,131.23
2010-12-13,130.26
2010-12-14,130.24
2010-12-15,130.39
2010-12-16,130.5
2010-12-17,130.62
2010-12-20,130.77
2010-12-21,130.76
2010-12-22,130.65
2010-12-23,130.52
2010-12-24,130.49
2010-12-27,130.63
2010-12-28,130.77
2010-12-29,130.83
2010-12-30,130.67
2011-01-11,130.53
2011-01-12,130.62
2011-01-13,130.75
2011-01-14,130.7
2011-01-17,130.74
2011-01-18,130.74
2011-01-19,130.81
2011-01-20,130.67
2011-01-21,130.72
2011-01-24,130.57
2011-01-25,130.58
2011-01-26,130.33
2011-01-27,130.19
2011-01-28,130.24
2011-01-31,130.43
2011-02-01,130.49
2011-02-02,130.38
2011-02-03,130.5
2011-02-04,130.58
2011-02-07,130.57
2011-02-08,130.55
2011-02-09,130.68
2011-02-10,130.76
2011-02-11,130.78
2011-02-14,130.76
2011-02-15,130.87
2011-02-16,130.9
2011-02-17,130.97
2011-02-18,130.88
2011-02-21,130.92
2011-02-22,130.81
2011-02-24,130.76
2011-02-25,130.72
2011-02-28,130.67
2011-03-01,130.84
2011-03-02,130.92
2011-03-03,131.11
2011-03-04,131.03
2011-03-05,131.06
2011-03-09,131.03
2011-03-10,131.0
2011-03-11,130.95
2011-03-14,130.99
2011-03-15,131.05
2011-03-16,131.05
2011-03-17,131.23
2011-03-18,131.4
2011-03-21,131.46
2011-03-22,131.55
2011-03-23,131.5
2011-03-24,131.5
2011-03-25,131.57
2011-03-28,131.66
2011-03-29,131.66
2011-03-30,131.73
2011-03-31,131.86
2011-04-01,132.07
2011-04-04,132.33
2011-04-05,132.39
2011-04-06,132.48
2011-04-07,132.62
2011-04-08,132.62
2011-04-11,132.62
2011-04-12,132.52
2011-04-13,132.35
2011-04-14,132.19
2011-04-15,132.3
2011-04-18,132.22
2011-04-19,131.97
2011-04-20,132.19
2011-04-21,132.12
2011-04-22,132.14
2011-04-25,132.2
2011-04-26,132.18
2011-04-27,132.08
2011-04-28,132.2
2011-04-29,132.07
2011-05-03,131.92
2011-05-04,131.9
2011-05-05,131.71
2011-05-06,131.64
2011-05-10,131.62
2011-05-11,131.68
2011-05-12,131.58
2011-05-13,131.52
2011-05-16,131.47
2011-05-17,131.38
2011-05-18,131.44
2011-05-19,131.53
2011-05-20,131.55
2011-05-23,131.47
2011-05-24,131.48
2011-05-25,131.41
2011-05-26,131.5
2011-05-27,131.48
2011-05-30,131.36
2011-05-31,131.37
2011-06-01,131.53
2011-06-02,131.44
2011-06-03,131.56
2011-06-06,131.58
2011-06-07,131.66
2011-06-08,131.6
2011-06-09,131.75
2011-06-10,131.79
2011-06-14,131.86
2011-06-15,131.79
2011-06-16,131.63
2011-06-17,131.62
2011-06-20,131.53
2011-06-21,131.6
2011-06-22,131.63
2011-06-23,131.55
2011-06-24,131.57
2011-06-27,131.5
2011-06-28,131.67
2011-06-29,131.78
2011-06-30,131.9
2011-07-01,132.19
2011-07-04,132.27
2011-07-05,132.29
2011-07-06,132.5
2011-07-07,132.74
2011-07-08,133.03
2011-07-11,132.62
2011-07-12,132.46
2011-07-13,132.63
2011-07-14,132.74
2011-07-15,132.78
2011-07-18,132.8
2011-07-19,132.83
2011-07-20,132.86
2011-07-21,132.81
2011-07-22,132.89
2011-07-25,132.97
2011-07-26,133.0
2011-07-27,132.98
2011-07-28,132.92
2011-07-29,133.03
2011-08-01,133.29
2011-08-02,133.46
2011-08-03,133.49
2011-08-04,133.13
2011-08-05,132.46
2011-08-08,132.28
2011-08-09,130.7
2011-08-10,131.57
2011-08-11,130.95
2011-08-12,131.2
2011-08-15,131.54
2011-08-16,131.46
2011-08-17,131.72
2011-08-18,131.62
2011-08-19,131.16
2011-08-22,131.31
2011-08-23,131.45
2011-08-24,131.29
2011-08-25,131.13
2011-08-26,131.08
2011-08-29,131.34
2011-08-30,131.54
2011-08-31,131.57
2011-09-01,131.45
2011-09-02,131.55
2011-09-05,131.19
2011-09-06,131.24
2011-09-07,131.28
2011-09-08,131.41
2011-09-09,131.33
2011-09-12,131.3
2011-09-13,131.19
2011-09-14,131.03
2011-09-15,130.5
2011-09-16,130.44
2011-09-19,129.84
2011-09-20,129.36
2011-09-21,129.55
2011-09-22,128.72
2011-09-23,127.39
2011-09-26,126.35
2011-09-27,126.84
2011-09-28,128.19
2011-09-29,128.26
2011-09-30,128.65
2011-10-03,127.6
2011-10-04,126.69
2011-10-05,126.61
2011-10-06,127.41
2011-10-07,127.9
2011-10-10,128.27
2011-10-11,128.43
2011-10-12,128.61
2011-10-13,128.34
2011-10-14,128.34
2011-10-17,128.49
2011-10-18,128.05
2011-10-19,128.24
2011-10-20,128.12
2011-10-21,128.16
2011-10-24,128.37
2011-10-25,128.62
2011-10-26,128.77
2011-10-27,129.71
2011-10-28,130.05
2011-10-31,129.52
2011-11-01,128.87
2011-11-02,128.94
2011-11-03,129.07
2011-11-07,129.18
2011-11-08,129.26
2011-11-09,129.33
2011-11-10,128.93
2011-11-11,129.01
2011-11-14,129.13
2011-11-15,128.81
2011-11-16,128.79
2011-11-17,128.64
2011-11-18,128.55
2011-11-21,128.39
2011-11-22,128.36
2011-11-23,128.19
2011-11-24,128.21
2011-11-25,128.11
2011-11-28,128.27
2011-11-29,128.41
2011-11-30,128.74
2011-12-01,129.17
2011-12-02,129.39
2011-12-05,129.49
2011-12-06,129.58
2011-12-07,129.66
2011-12-08,129.52
2011-12-09,129.32
2011-12-12,129.14
2011-12-13,129.01
2011-12-14,128.93
2011-12-15,128.92
2011-12-16,128.9
2011-12-19,128.81
2011-12-20,128.95
2011-12-21,128.8
2011-12-22,128.85
2011-12-23,128.91
2011-12-26,129.0
2011-12-27,128.97
2011-12-28,129.05
2011-12-29,129.05
2011-12-30,129.12
2012-01-03,129.1
2012-01-04,129.11
2012-01-05,129.12
2012-01-06,129.14
2012-01-09,129.17
2012-01-10,129.24
2012-01-11,129.34
2012-01-12,129.61
2012-01-13,129.57
2012-01-16,129.56
2012-01-17,129.78
2012-01-18,129.8
2012-01-19,129.82
2012-01-20,129.93
2012-01-23,129.86
2012-01-24,129.72
2012-01-25,129.89
2012-01-26,130.08
2012-01-27,130.4
2012-01-30,130.35
2012-01-31,130.62
2012-02-01,130.82
2012-02-02,131.18
2012-02-03,131.55
2012-02-06,131.78
2012-02-07,131.97
2012-02-08,132.11
2012-02-09,131.79
2012-02-10,131.55
2012-02-13,131.65
2012-02-14,131.68
2012-02-15,131.77
2012-02-16,131.78
2012-02-17,131.81
2012-02-20,131.56
2012-02-21,131.71
2012-02-22,131.62
2012-02-24,131.69
2012-02-27,131.82
2012-02-28,131.72
2012-02-29,131.9
2012-03-01,131.88
2012-03-02,131.88
2012-03-05,131.88
2012-03-06,131.77
2012-03-07,131.64
2012-03-11,131.71
2012-03-12,131.82
2012-03-13,132.01
2012-03-14,132.2
2012-03-15,132.18
2012-03-16,132.26
2012-03-19,132.06
2012-03-20,132.0
2012-03-21,131.95
2012-03-22,131.88
2012-03-23,131.85
2012-03-26,131.92
2012-03-27,131.94
2012-03-28,131.98
2012-03-29,132.08
2012-03-30,132.03
2012-04-02,132.07
2012-04-03,132.07
2012-04-04,131.91
2012-04-05,131.9
2012-04-06,131.8
2012-04-09,131.57
2012-04-10,131.35
2012-04-11,131.29
2012-04-12,131.33
2012-04-13,131.28
2012-04-16,131.22
2012-04-17,131.36
2012-04-18,131.52
2012-04-19,131.4
2012-04-20,131.57
2012-04-23,131.44
2012-04-24,131.31
2012-04-25,131.41
2012-04-26,131.47
2012-04-27,131.44
2012-04-28,131.59
2012-05-02,131.53
2012-05-03,131.57
2012-05-04,131.53
2012-05-05,131.33
2012-05-07,131.42
2012-05-08,131.42
2012-05-10,131.2
2012-05-11,131.02
2012-05-12,131.14
2012-05-14,130.47
2012-05-15,130.35
2012-05-16,129.69
2012-05-17,129.17
2012-05-18,128.85
2012-05-21,129.02
2012-05-22,129.3
2012-05-23,128.73
2012-05-24,128.51
2012-05-25,128.61
2012-05-28,128.62
2012-05-29,128.69
2012-05-30,128.61
2012-05-31,128.22
2012-06-01,127.39
2012-06-04,127.78
2012-06-05,127.95
2012-06-06,128.71
2012-06-07,129.1
2012-06-08,128.63
2012-06-09,128.9
2012-06-13,128.52
2012-06-14,128.43
2012-06-15,128.87
2012-06-18,128.88
2012-06-19,128.68
2012-06-20,128.61
2012-06-21,128.44
2012-06-22,128.39
2012-06-25,128.37
2012-06-26,128.29
2012-06-27,128.39
2012-06-28,128.32
2012-06-29,128.81
2012-07-02,129.59
2012-07-03,130.0
2012-07-04,130.36
2012-07-05,130.33
2012-07-06,130.16
2012-07-09,130.15
2012-07-10,130.15
2012-07-11,130.17
2012-07-12,130.48
2012-07-13,130.93
2012-07-16,131.64
2012-07-17,131.99
2012-07-18,132.06
2012-07-19,131.78
2012-07-20,131.58
2012-07-23,130.64
2012-07-24,130.64
2012-07-25,130.5
2012-07-26,130.94
2012-07-27,131.24
2012-07-30,131.4
2012-07-31,131.41
2012-08-01,131.57
2012-08-02,131.5
2012-08-03,131.59
2012-08-06,131.95
2012-08-07,132.15
2012-08-08,132.04
2012-08-09,131.99
2012-08-10,131.71
2012-08-13,131.68
2012-08-14,131.86
2012-08-15,131.69
2012-08-16,131.76
2012-08-17,131.77
2012-08-20,131.73
2012-08-21,131.88
2012-08-22,131.89
2012-08-23,132.07
2012-08-24,131.96
2012-08-27,132.02
2012-08-28,131.96
2012-08-29,132.02
2012-08-30,131.95
2012-08-31,132.0
2012-09-03,132.06
2012-09-04,132.34
2012-09-05,132.36
2012-09-06,132.51
2012-09-07,132.57
2012-09-10,132.39
2012-09-11,132.49
2012-09-12,132.53
2012-09-13,132.42
2012-09-14,132.6
2012-09-17,132.5
2012-09-18,132.38
2012-09-19,132.31
2012-09-20,132.19
2012-09-21,132.33
2012-09-24,132.21
2012-09-25,132.27
2012-09-26,132.25
2012-09-27,132.31
2012-09-28,132.4
2012-10-01,132.38
2012-10-02,132.35
2012-10-03,132.48
2012-10-04,132.63
2012-10-05,132.9
2012-10-08,132.9
2012-10-09,133.06
2012-10-10,133.18
2012-10-11,133.37
2012-10-12,133.69
2012-10-15,133.85
2012-10-16,134.17
2012-10-17,134.41
2012-10-18,134.38
2012-10-19,134.44
2012-10-22,134.65
2012-10-23,134.34
2012-10-24,134.22
2012-10-25,134.36
2012-10-26,134.28
2012-10-29,134.23
2012-10-30,134.25
2012-10-31,134.37
2012-11-01,134.72
2012-11-02,134.52
2012-11-06,134.58
2012-11-07,134.54
2012-11-08,134.56
2012-11-09,134.6
2012-11-12,134.63
2012-11-13,134.58
2012-11-14,134.55
2012-11-15,134.56
2012-11-16,134.6
2012-11-19,134.99
2012-11-20,135.21
2012-11-21,135.88
2012-11-22,136.25
2012-11-23,136.25
2012-11-26,136.2
2012-11-27,136.22
2012-11-28,136.2
2012-11-29,136.59
2012-11-30,136.93
2012-12-03,137.42
2012-12-04,137.63
2012-12-05,137.62
2012-12-06,137.44
2012-12-07,137.51
2012-12-10,137.91
2012-12-11,137.92
2012-12-12,138.43
2012-12-13,138.17
2012-12-14,138.33
2012-12-17,138.26
2012-12-18,138.25
2012-12-19,138.08
2012-12-20,138.02
2012-12-21,137.99
2012-12-24,137.99
2012-12-25,137.89
2012-12-26,137.94
2012-12-27,137.93
2012-12-28,138.04
2013-01-08,137.82
2013-01-09,138.55
2013-01-10,139.82
2013-01-11,139.53
2013-01-14,139.57
2013-01-15,139.46
2013-01-16,139.08
2013-01-17,138.86
2013-01-18,139.19
2013-01-21,139.03
2013-01-22,139.09
2013-01-23,139.17
2013-01-24,139.27
2013-01-25,139.66
2013-01-28,139.65
2013-01-29,139.54
2013-01-30,139.52
2013-01-31,139.22
2013-02-01,139.17
2013-02-04,139.06
2013-02-05,138.87
2013-02-06,139.09
2013-02-07,139.05
2013-02-08,139.2
2013-02-11,139.27
2013-02-12,139.17
2013-02-13,139.22
2013-02-14,139.15
2013-02-15,139.1
2013-02-18,139.07
2013-02-19,139.03
2013-02-20,139.05
2013-02-21,138.89
2013-02-22,138.75
2013-02-25,138.84
2013-02-26,138.58
2013-02-27,138.76
2013-02-28,138.76
2013-03-01,138.65
2013-03-04,138.54
2013-03-05,138.55
2013-03-06,138.46
2013-03-07,138.35
2013-03-11,138.11
2013-03-12,137.96
2013-03-13,137.82
2013-03-14,137.61
2013-03-15,137.46
2013-03-18,137.11
2013-03-19,137.02
2013-03-20,137.21
2013-03-21,137.23
2013-03-22,137.28
2013-03-25,137.38
2013-03-26,137.28
2013-03-27,137.19
2013-03-28,137.45
2013-03-29,137.67
2013-04-01,137.51
2013-04-02,137.65
2013-04-03,137.57
2013-04-04,137.76
2013-04-05,138.51
2013-04-08,139.56
2013-04-09,139.51
2013-04-10,139.79
2013-04-11,139.85
2013-04-12,139.59
2013-04-15,138.82
2013-04-16,138.48
2013-04-17,138.81
2013-04-18,139.26
2013-04-19,139.75
2013-04-22,139.62
2013-04-23,140.12
2013-04-24,140.38
2013-04-25,140.47
2013-04-26,140.7
2013-04-29,141.09
2013-04-30,141.33
2013-05-02,141.3
2013-05-03,141.65
2013-05-06,141.64
2013-05-07,141.51
2013-05-08,141.55
2013-05-10,141.47
2013-05-13,140.71
2013-05-14,140.45
2013-05-15,140.68
2013-05-16,140.45
2013-05-17,140.6
2013-05-20,140.5
2013-05-21,139.37
2013-05-22,139.29
2013-05-23,138.36
2013-05-24,138.2
2013-05-27,138.32
2013-05-28,138.17
2013-05-29,137.48
2013-05-30,136.82
2013-05-31,136.15
2013-06-03,135.55
2013-06-04,135.83
2013-06-05,136.24
2013-06-06,135.26
2013-06-07,134.63
2013-06-10,134.11
2013-06-11,133.02
2013-06-13,133.97
2013-06-14,135.57
2013-06-17,135.26
2013-06-18,134.44
2013-06-19,134.22
2013-06-20,132.49
2013-06-21,132.35
2013-06-24,129.9
2013-06-25,130.51
2013-06-26,131.3
2013-06-27,132.81
2013-06-28,133.47
2013-07-01,133.54
2013-07-02,134.28
2013-07-03,134.11
2013-07-04,134.11
2013-07-05,133.82
2013-07-08,133.83
2013-07-09,134.54
2013-07-10,134.72
2013-07-11,134.83
2013-07-12,135.22
2013-07-15,135.44
2013-07-16,136.23
2013-07-17,136.23
2013-07-18,136.41
2013-07-19,136.38
2013-07-22,136.32
2013-07-23,136.41
2013-07-24,136.15
2013-07-25,135.54
2013-07-26,135.43
2013-07-29,134.9
2013-07-30,134.81
2013-07-31,134.5
2013-08-01,134.96
2013-08-02,134.77
2013-08-05,135.35
2013-08-06,135.23
2013-08-07,135.27
2013-08-08,135.68
2013-08-09,135.46
2013-08-12,135.49
2013-08-13,135.28
2013-08-14,135.02
2013-08-15,135.08
2013-08-16,135.0
2013-08-19,134.46
2013-08-20,134.24
2013-08-21,133.8
2013-08-22,132.72
2013-08-23,133.17
2013-08-26,133.44
2013-08-27,132.78
2013-08-28,132.5
2013-08-29,132.63
2013-08-30,133.0
2013-09-02,133.11
2013-09-03,132.95
2013-09-04,132.95
2013-09-05,132.79
2013-09-06,132.82
2013-09-09,133.1
2013-09-10,133.34
2013-09-11,134.24
2013-09-12,135.03
2013-09-13,135.21
2013-09-16,135.68
2013-09-17,135.07
2013-09-18,134.95
2013-09-19,136.35
2013-09-20,136.02
2013-09-23,135.65
2013-09-24,135.88
2013-09-25,135.22
2013-09-26,135.38
2013-09-27,135.06
2013-09-30,134.86
2013-10-01,134.89
2013-10-02,135.01
2013-10-03,135.34
2013-10-04,135.34
2013-10-07,135.26
2013-10-08,134.99
2013-10-09,135.06
2013-10-10,134.8
2013-10-11,134.99
2013-10-14,135.03
2013-10-15,134.68
2013-10-16,134.92
2013-10-17,135.27
2013-10-18,135.55
2013-10-21,135.46
2013-10-22,135.76
2013-10-23,135.89
2013-10-24,135.86
2013-10-25,135.61
2013-10-28,135.77
2013-10-29,135.63
2013-10-30,135.96
2013-10-31,135.9
2013-11-01,135.55
2013-11-05,135.48
2013-11-06,135.43
2013-11-07,135.33
2013-11-08,134.88
2013-11-11,134.41
2013-11-12,133.95
2013-11-13,133.93
2013-11-14,133.99
2013-11-15,134.02
2013-11-18,134.08
2013-11-19,133.96
2013-11-20,133.79
2013-11-21,133.46
2013-11-22,133.71
2013-11-25,133.57
2013-11-26,133.15
2013-11-27,132.87
2013-11-28,132.42
2013-11-29,132.23
2013-12-02,132.24
2013-12-03,132.02
2013-12-04,132.38
2013-12-05,132.41
2013-12-06,132.7
2013-12-09,133.02
2013-12-10,133.26
2013-12-11,133.41
2013-12-12,133.31
2013-12-13,133.21
2013-12-16,133.05
2013-12-17,132.99
2013-12-18,133.08
2013-12-19,133.18
2013-12-20,133.19
2013-12-23,133.31
2013-12-24,133.25
2013-12-25,133.24
2013-12-26,133.1
2013-12-27,133.17
2013-12-30,133.27
2014-01-06,133.25
2014-01-08,133.28
2014-01-09,133.02
2014-01-10,132.91
2014-01-13,132.98
2014-01-14,133.02
2014-01-15,133.17
2014-01-16,132.82
2014-01-17,132.78
2014-01-20,132.82
2014-01-21,132.76
2014-01-22,132.43
2014-01-23,132.43
2014-01-24,132.26
2014-01-27,131.29
2014-01-28,131.52
2014-01-29,131.08
2014-01-30,130.17
2014-01-31,130.19
2014-02-03,130.19
2014-02-04,130.68
2014-02-05,131.13
