index,Value
2014-04-24,7.25545454545455
2014-04-25,7.274090909090914
2014-04-28,7.292727272727277
2014-04-29,7.311363636363641
2014-04-30,7.3300000000000045
2014-05-02,7.342380952380957
2014-05-05,7.354761904761909
2014-05-06,7.367142857142861
2014-05-07,7.379523809523813
2014-05-08,7.391904761904765
2014-05-12,7.4042857142857175
2014-05-13,7.41666666666667
2014-05-14,7.429047619047622
2014-05-15,7.441428571428574
2014-05-16,7.453809523809526
2014-05-19,7.466190476190478
2014-05-20,7.47857142857143
2014-05-21,7.490952380952383
2014-05-22,7.503333333333335
2014-05-23,7.515714285714287
2014-05-26,7.528095238095239
2014-05-27,7.540476190476191
2014-05-28,7.552857142857143
2014-05-29,7.5652380952380955
2014-05-30,7.577619047619048
2014-05-31,7.59
2014-06-02,7.6010526315789475
2014-06-03,7.612105263157895
2014-06-04,7.623157894736843
2014-06-05,7.6342105263157904
2014-06-06,7.645263157894738
2014-06-09,7.656315789473686
2014-06-10,7.667368421052633
2014-06-11,7.678421052631581
2014-06-16,7.689473684210529
2014-06-17,7.700526315789476
2014-06-18,7.711578947368424
2014-06-19,7.722631578947372
2014-06-20,7.733684210526319
2014-06-23,7.744736842105267
2014-06-24,7.755789473684215
2014-06-25,7.766842105263162
2014-06-26,7.77789473684211
2014-06-27,7.7889473684210575
2014-06-30,7.800000000000005
2014-07-01,7.784782608695657
2014-07-02,7.7695652173913095
2014-07-03,7.754347826086962
2014-07-04,7.739130434782614
2014-07-07,7.723913043478266
2014-07-08,7.708695652173918
2014-07-09,7.69347826086957
2014-07-10,7.678260869565222
2014-07-11,7.6630434782608745
2014-07-14,7.647826086956527
2014-07-15,7.632608695652179
2014-07-16,7.617391304347831
2014-07-17,7.602173913043483
2014-07-18,7.586956521739135
2014-07-21,7.571739130434787
2014-07-22,7.55652173913044
2014-07-23,7.541304347826092
2014-07-24,7.526086956521744
2014-07-25,7.510869565217396
2014-07-28,7.495652173913048
2014-07-29,7.4804347826087
2014-07-30,7.4652173913043525
2014-07-31,7.450000000000005
2014-08-01,7.4550000000000045
2014-08-04,7.460000000000004
2014-08-05,7.465000000000004
2014-08-06,7.470000000000004
2014-08-07,7.475000000000004
2014-08-08,7.480000000000004
2014-08-11,7.485000000000004
2014-08-12,7.490000000000004
2014-08-13,7.495000000000004
2014-08-14,7.5000000000000036
2014-08-15,7.5050000000000034
2014-08-18,7.510000000000003
2014-08-19,7.515000000000003
2014-08-20,7.520000000000003
2014-08-21,7.525000000000003
2014-08-22,7.530000000000003
2014-08-25,7.535000000000003
2014-08-26,7.540000000000003
2014-08-27,7.545000000000003
2014-08-28,7.5500000000000025
2014-08-29,7.555000000000002
2014-08-31,7.560000000000002
2014-09-01,7.581363636363639
2014-09-02,7.602727272727275
2014-09-03,7.624090909090912
2014-09-04,7.645454545454548
2014-09-05,7.666818181818185
2014-09-08,7.688181818181821
2014-09-09,7.709545454545458
2014-09-10,7.730909090909094
2014-09-11,7.7522727272727305
2014-09-12,7.773636363636367
2014-09-15,7.7950000000000035
2014-09-16,7.81636363636364
2014-09-17,7.837727272727276
2014-09-18,7.859090909090913
2014-09-19,7.880454545454549
2014-09-22,7.901818181818186
2014-09-23,7.923181818181822
2014-09-24,7.944545454545459
2014-09-25,7.965909090909095
2014-09-26,7.987272727272732
2014-09-29,8.008636363636368
2014-09-30,8.030000000000005
2014-10-01,8.041739130434788
2014-10-02,8.053478260869571
2014-10-03,8.065217391304355
2014-10-06,8.076956521739138
2014-10-07,8.088695652173922
2014-10-08,8.100434782608705
2014-10-09,8.112173913043488
2014-10-10,8.123913043478272
2014-10-13,8.135652173913055
2014-10-14,8.147391304347838
2014-10-15,8.159130434782622
2014-10-16,8.170869565217405
2014-10-17,8.182608695652188
2014-10-20,8.194347826086972
2014-10-21,8.206086956521755
2014-10-22,8.217826086956538
2014-10-23,8.229565217391322
2014-10-24,8.241304347826105
2014-10-27,8.253043478260889
2014-10-28,8.264782608695672
2014-10-29,8.276521739130455
2014-10-30,8.288260869565239
2014-10-31,8.300000000000022
2014-11-03,8.338500000000021
2014-11-05,8.37700000000002
2014-11-06,8.41550000000002
2014-11-07,8.454000000000018
2014-11-10,8.492500000000017
2014-11-11,8.531000000000017
2014-11-12,8.569500000000016
2014-11-13,8.608000000000015
2014-11-14,8.646500000000014
2014-11-17,8.685000000000013
2014-11-18,8.723500000000012
2014-11-19,8.762000000000011
2014-11-20,8.80050000000001
2014-11-21,8.83900000000001
2014-11-24,8.877500000000008
2014-11-25,8.916000000000007
2014-11-26,8.954500000000007
2014-11-27,8.993000000000006
2014-11-28,9.031500000000005
2014-11-30,9.070000000000004
2014-12-01,9.169565217391309
2014-12-02,9.269130434782614
2014-12-03,9.368695652173919
2014-12-04,9.468260869565224
2014-12-05,9.56782608695653
2014-12-08,9.667391304347834
2014-12-09,9.76695652173914
2014-12-10,9.866521739130445
2014-12-11,9.96608695652175
2014-12-12,10.065652173913055
2014-12-15,10.16521739130436
