index,AVG_price
2022-06-02,28268.101345794388
2022-06-03,28266.96822429906
2022-06-06,28268.179775700926
2022-06-07,28269.391327102792
2022-06-08,28270.60287850466
2022-06-09,28271.814429906524
2022-06-10,28273.02598130839
2022-06-14,28249.066238317737
2022-06-15,28225.106495327083
2022-06-16,28201.14675233643
2022-06-17,28177.187009345776
2022-06-20,28140.693196261665
2022-06-21,28104.199383177554
2022-06-22,28067.705570093443
2022-06-23,28031.211757009332
2022-06-24,27994.71794392522
2022-06-27,28001.13276635513
2022-06-28,28007.54758878504
2022-06-29,28013.96241121495
2022-06-30,28020.37723364486
2022-07-01,28026.79205607477
2022-07-04,28024.389158878505
2022-07-05,28021.98626168224
2022-07-06,28019.583364485974
2022-07-07,28017.18046728971
2022-07-08,28014.777570093444
2022-07-11,28024.636766355125
2022-07-12,28034.495962616806
2022-07-13,28044.355158878487
2022-07-14,28054.214355140168
2022-07-15,28064.07355140185
2022-07-18,28065.13831775699
2022-07-19,28066.203084112134
2022-07-20,28067.267850467277
2022-07-21,28068.33261682242
2022-07-22,28069.397383177562
2022-07-25,28074.108598130835
2022-07-26,28078.819813084105
2022-07-27,28083.531028037374
2022-07-28,28088.242242990644
2022-07-29,28092.953457943913
2022-08-01,28097.664672897183
2022-08-02,28111.39145794391
2022-08-03,28125.11824299064
2022-08-04,28138.84502803737
2022-08-05,28152.571813084098
2022-08-08,28166.298598130827
2022-08-09,28169.151158878492
2022-08-10,28172.00371962616
2022-08-11,28174.856280373824
2022-08-12,28177.70884112149
2022-08-15,28180.561401869156
2022-08-16,28181.595626168222
2022-08-17,28182.62985046729
2022-08-18,28183.664074766355
2022-08-19,28184.69829906542
2022-08-22,28185.732523364488
2022-08-23,28186.09093457944
2022-08-24,28186.44934579439
2022-08-25,28186.80775700934
2022-08-26,28187.166168224292
2022-08-29,28187.524579439243
2022-08-30,28186.15368224298
2022-08-31,28184.78278504672
2022-09-01,28183.411887850456
2022-09-02,28182.040990654194
2022-09-05,28180.67009345793
2022-09-06,28180.85102803737
2022-09-07,28181.03196261681
2022-09-08,28181.21289719625
2022-09-09,28181.393831775687
2022-09-12,28181.574766355126
2022-09-13,28182.292018691573
2022-09-14,28183.00927102802
2022-09-15,28183.726523364465
2022-09-16,28184.44377570091
2022-09-19,28185.161028037357
2022-09-20,28184.363906542032
2022-09-21,28183.566785046707
2022-09-22,28182.769663551382
2022-09-23,28181.972542056057
2022-09-26,28181.175420560732
2022-09-27,28180.644803738305
2022-09-28,28180.11418691588
2022-09-29,28179.58357009345
2022-09-30,28179.052953271024
2022-10-03,28178.522336448597
2022-10-04,28181.577457943924
2022-10-05,28184.63257943925
2022-10-06,28187.687700934577
2022-10-07,28190.742822429904
2022-10-10,28193.79794392523
2022-10-11,28193.021999999994
2022-10-12,28192.246056074757
2022-10-13,28191.47011214952
2022-10-14,28190.694168224283
2022-10-17,28189.918224299046
2022-10-18,28191.109420560726
2022-10-19,28192.300616822406
2022-10-20,28193.491813084085
2022-10-21,28194.683009345765
2022-10-24,28195.874205607444
2022-10-25,28196.34816822427
2022-10-26,28196.822130841098
2022-10-27,28197.296093457924
2022-10-28,28197.77005607475
2022-10-31,28198.244018691577
2022-11-01,28197.532172897183
2022-11-02,28196.82032710279
2022-11-03,28196.108481308394
2022-11-07,28195.396635514
2022-11-08,28197.25474766353
2022-11-09,28199.11285981306
2022-11-10,28200.97097196259
2022-11-11,28202.82908411212
2022-11-14,28204.68719626165
2022-11-15,28208.133719626137
2022-11-16,28211.580242990625
2022-11-17,28215.026766355113
2022-11-18,28218.4732897196
2022-11-21,28221.91981308409
2022-11-22,28223.038205607452
2022-11-23,28224.156598130816
2022-11-24,28225.27499065418
2022-11-25,28226.393383177543
2022-11-28,28227.511775700907
2022-11-29,28232.195626168195
2022-11-30,28236.879476635484
2022-12-01,28241.563327102773
2022-12-02,28246.24717757006
2022-12-05,28250.93102803735
2022-12-06,28263.093121495294
2022-12-07,28275.25521495324
2022-12-08,28287.417308411183
2022-12-09,28299.579401869127
2022-12-12,28311.74149532707
2022-12-13,28312.686841121467
2022-12-14,28313.632186915864
2022-12-15,28314.57753271026
2022-12-16,28315.522878504657
2022-12-19,28316.468224299053
2022-12-20,28316.07345794391
2022-12-21,28315.678691588764
2022-12-22,28315.28392523362
2022-12-23,28314.889158878475
2022-12-26,28314.49439252333
2022-12-27,28314.49439252333
2022-12-28,28314.49439252333
2022-12-29,28314.49439252333
2022-12-30,28314.49439252333
